Timestamp,Category,Status,ResponseTime,RawData
2026-03-26 05:25,Video,Error(500),0.665,Invalid Status
2026-03-26 05:25,Search,OK,1.031,"[{""type"":""video"" ""title"":""50 QUESTIONS pour TESTER TON SAVOIR 🧠🤯 | Quiz Culture Générale"" ""videoId"":"
2026-03-26 05:25,Channel,Error(404),0.432,Invalid Status
2026-03-26 05:25,Comments,OK,0.903,"{""commentCount"":10476025 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 05:25,Playlist,Error(404),0.412,Invalid Status
2026-03-26 06:08,Video,Failed,1.293,HTTPSConnectionPool(host='invidious.lunivers.trade
2026-03-26 06:08,Search,OK,0.945,"[{""type"":""video"" ""title"":""50 QUESTIONS pour TESTER TON SAVOIR 🧠🤯 | Quiz Culture Générale"" ""videoId"":"
2026-03-26 06:08,Channel,Error(404),0.4,Invalid Status
2026-03-26 06:08,Comments,OK,0.721,"{""commentCount"":10476020 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 06:08,Playlist,Error(404),0.463,Invalid Status
2026-03-26 16:01,Video,OK,0.793,
2026-03-26 16:01,Search,OK,1.052,"[{""type"":""video"" ""title"":""50 QUESTIONS pour TESTER TON SAVOIR 🧠🤯 | Quiz Culture Générale"" ""videoId"":"
2026-03-26 16:01,Channel,Failed,0.876,Timeout or Error
2026-03-26 16:01,Comments,OK,0.86,"{""commentCount"":10476036 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 16:01,Playlist,Failed,0.543,Timeout or Error
2026-03-26 17:26,Video,OK,1.381,
2026-03-26 17:26,Search,OK,0.985,"[{""type"":""video"" ""title"":""50 QUESTIONS pour TESTER TON SAVOIR 🧠🤯 | Quiz Culture Générale"" ""videoId"":"
2026-03-26 17:26,Channel,Failed,0.376,Timeout or Error
2026-03-26 17:26,Comments,OK,0.695,"{""commentCount"":10476093 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 17:26,Playlist,Failed,0.38,Timeout or Error
2026-03-26 17:47,Video,OK,1.181,
2026-03-26 17:47,Search,OK,0.895,"[{""type"":""video"" ""title"":""Devine le MOT en ÉMOJIS 😎🍉🍦 Spécial ÉTÉ ☀️ Quiz Émoji"" ""videoId"":""FUALAPL6"
2026-03-26 17:47,Channel,Failed,0.814,Timeout or Error
2026-03-26 17:47,Comments,OK,0.756,"{""commentCount"":10476097 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 17:47,Playlist,Failed,0.665,Timeout or Error
2026-03-26 17:56,Video,OK,0.375,
2026-03-26 17:56,Search,OK,0.839,"[{""type"":""video"" ""title"":""50 QUESTIONS pour TESTER TON SAVOIR 🧠🤯 | Quiz Culture Générale"" ""videoId"":"
2026-03-26 17:56,Channel,Failed,0.384,Timeout or Error
2026-03-26 17:56,Comments,OK,0.681,"{""commentCount"":10476098 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 17:56,Playlist,Failed,0.359,Timeout or Error
2026-03-26 18:05,Video,Failed,0.524,Timeout or Error
2026-03-26 18:05,Search,OK,1.024,"[{""type"":""video"" ""title"":""50 QUESTIONS pour TESTER TON SAVOIR 🧠🤯 | Quiz Culture Générale"" ""videoId"":"
2026-03-26 18:05,Channel,Failed,0.567,Timeout or Error
2026-03-26 18:05,Comments,OK,0.8,"{""commentCount"":10476106 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 18:05,Playlist,Failed,0.565,Timeout or Error
2026-03-26 18:10,Video,Failed,0.521,Timeout or Error
2026-03-26 18:10,Search,OK,1.019,"[{""type"":""video"" ""title"":""50 QUESTIONS pour TESTER TON SAVOIR 🧠🤯 | Quiz Culture Générale"" ""videoId"":"
2026-03-26 18:10,Channel,Failed,0.663,Timeout or Error
2026-03-26 18:10,Comments,OK,0.875,"{""commentCount"":10476089 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 18:10,Playlist,Failed,0.539,Timeout or Error
2026-03-26 18:30,Video,Failed,0.529,Timeout or Error
2026-03-26 18:30,Search,OK,0.97,"[{""type"":""video"" ""title"":""50 QUESTIONS pour TESTER TON SAVOIR 🧠🤯 | Quiz Culture Générale"" ""videoId"":"
2026-03-26 18:30,Channel,Failed,0.368,Timeout or Error
2026-03-26 18:30,Comments,OK,0.864,"{""commentCount"":10476091 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 18:30,Playlist,Failed,1.221,Timeout or Error
2026-03-26 18:56,Video,Failed,0.442,Timeout or Error
2026-03-26 18:56,Search,OK,0.97,"[{""type"":""video"" ""title"":""50 QUESTIONS pour TESTER TON SAVOIR 🧠🤯 | Quiz Culture Générale"" ""videoId"":"
2026-03-26 18:56,Channel,Failed,0.369,Timeout or Error
2026-03-26 18:56,Comments,OK,0.661,"{""commentCount"":10476105 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 18:56,Playlist,Failed,0.356,Timeout or Error
2026-03-26 19:51,Video,OK,0.519,
2026-03-26 19:51,Search,OK,1.018,"[{""type"":""video"" ""title"":""50 QUESTIONS pour TESTER TON SAVOIR 🧠🤯 | Quiz Culture Générale"" ""videoId"":"
2026-03-26 19:51,Channel,Failed,0.565,Timeout or Error
2026-03-26 19:51,Comments,OK,0.961,"{""commentCount"":10476102 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 19:51,Playlist,Failed,0.849,Timeout or Error
2026-03-26 20:45,Video,OK,0.633,
2026-03-26 20:45,Search,OK,1.169,"[{""type"":""video"" ""title"":""50 QUESTIONS pour TESTER TON SAVOIR 🧠🤯 | Quiz Culture Générale"" ""videoId"":"
2026-03-26 20:45,Channel,Failed,0.571,Timeout or Error
2026-03-26 20:45,Comments,OK,0.827,"{""commentCount"":10476158 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 20:45,Playlist,Failed,0.744,Timeout or Error
2026-03-26 22:01,Video,OK,0.551,
2026-03-26 22:01,Search,OK,1.302,"[{""type"":""video"" ""title"":""50 QUESTIONS pour TESTER TON SAVOIR 🧠🤯 | Quiz Culture Générale"" ""videoId"":"
2026-03-26 22:01,Channel,Failed,0.848,Timeout or Error
2026-03-26 22:01,Comments,OK,0.799,"{""commentCount"":10476225 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 22:01,Playlist,Failed,0.387,Timeout or Error
2026-03-26 23:43,Video,Failed,0.409,Timeout or Error
2026-03-26 23:43,Search,OK,0.912,"[{""type"":""video"" ""title"":""50 QUESTIONS pour TESTER TON SAVOIR 🧠🤯 | Quiz Culture Générale"" ""videoId"":"
2026-03-26 23:43,Channel,Failed,0.769,Timeout or Error
2026-03-26 23:43,Comments,OK,0.763,"{""commentCount"":10476313 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 23:43,Playlist,Failed,0.507,Timeout or Error
2026-03-26 23:59,Video,Failed,0.622,Timeout or Error
2026-03-26 23:59,Search,OK,1.511,"[{""type"":""video"" ""title"":""50 QUESTIONS pour TESTER TON SAVOIR 🧠🤯 | Quiz Culture Générale"" ""videoId"":"
2026-03-26 23:59,Channel,Failed,0.905,Timeout or Error
2026-03-26 23:59,Comments,OK,1.021,"{""commentCount"":10476324 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 23:59,Playlist,Failed,0.788,Timeout or Error
2026-03-27 01:15,Video,OK,0.498,
