Timestamp,Category,Status,ResponseTime,RawData
2026-03-26 06:08,Video,Error(403),0.842,Invalid Status
2026-03-26 06:08,Search,Error(403),0.361,Invalid Status
2026-03-26 06:08,Channel,Error(403),0.36,Invalid Status
2026-03-26 06:08,Comments,OK,0.646,"{""commentCount"":10476020 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 06:08,Playlist,Error(404),0.405,Invalid Status
2026-03-26 16:01,Video,Failed,0.515,Timeout or Error
2026-03-26 16:01,Search,Failed,0.529,Timeout or Error
2026-03-26 16:01,Channel,Failed,0.529,Timeout or Error
2026-03-26 16:01,Comments,OK,0.516,"{""commentCount"":10476020 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 16:01,Playlist,Failed,0.528,Timeout or Error
2026-03-26 17:26,Video,Failed,0.33,Timeout or Error
2026-03-26 17:26,Search,Failed,0.337,Timeout or Error
2026-03-26 17:26,Channel,Failed,0.332,Timeout or Error
2026-03-26 17:26,Comments,OK,0.331,"{""commentCount"":10476036 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 17:26,Playlist,Failed,0.331,Timeout or Error
2026-03-26 17:47,Video,Failed,0.465,Timeout or Error
2026-03-26 17:47,Search,Failed,0.473,Timeout or Error
2026-03-26 17:47,Channel,Failed,0.466,Timeout or Error
2026-03-26 17:47,Comments,OK,0.473,"{""commentCount"":10476093 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 17:47,Playlist,Failed,0.474,Timeout or Error
2026-03-26 17:56,Video,Failed,0.308,Timeout or Error
2026-03-26 17:56,Search,Failed,0.33,Timeout or Error
2026-03-26 17:56,Channel,Failed,0.308,Timeout or Error
2026-03-26 17:56,Comments,OK,0.31,"{""commentCount"":10476093 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 17:56,Playlist,Failed,0.306,Timeout or Error
2026-03-26 18:05,Video,Failed,0.505,Timeout or Error
2026-03-26 18:05,Search,Failed,0.53,Timeout or Error
2026-03-26 18:05,Channel,Failed,0.505,Timeout or Error
2026-03-26 18:05,Comments,OK,0.516,"{""commentCount"":10476093 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 18:05,Playlist,Failed,0.517,Timeout or Error
2026-03-26 18:10,Video,Failed,0.502,Timeout or Error
2026-03-26 18:10,Search,Failed,0.466,Timeout or Error
2026-03-26 18:10,Channel,Failed,0.473,Timeout or Error
2026-03-26 18:10,Comments,OK,0.473,"{""commentCount"":10476107 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 18:10,Playlist,Failed,0.481,Timeout or Error
2026-03-26 18:30,Video,Failed,0.311,Timeout or Error
2026-03-26 18:30,Search,Failed,0.311,Timeout or Error
2026-03-26 18:30,Channel,Failed,0.31,Timeout or Error
2026-03-26 18:30,Comments,OK,0.307,"{""commentCount"":10476107 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 18:30,Playlist,Failed,0.313,Timeout or Error
2026-03-26 18:56,Video,Failed,0.31,Timeout or Error
2026-03-26 18:56,Search,Failed,0.306,Timeout or Error
2026-03-26 18:56,Channel,Failed,0.309,Timeout or Error
2026-03-26 18:56,Comments,OK,0.308,"{""commentCount"":10476107 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 18:56,Playlist,Failed,0.31,Timeout or Error
2026-03-26 19:51,Video,Failed,0.477,Timeout or Error
2026-03-26 19:51,Search,Failed,0.489,Timeout or Error
2026-03-26 19:51,Channel,Failed,0.505,Timeout or Error
2026-03-26 19:51,Comments,OK,0.489,"{""commentCount"":10476105 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 19:51,Playlist,Failed,0.49,Timeout or Error
2026-03-26 20:45,Video,Failed,0.492,Timeout or Error
2026-03-26 20:45,Search,Failed,0.516,Timeout or Error
2026-03-26 20:45,Channel,Failed,0.516,Timeout or Error
2026-03-26 20:45,Comments,OK,0.507,"{""commentCount"":10476102 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 20:45,Playlist,Failed,0.523,Timeout or Error
2026-03-26 22:01,Video,Failed,0.311,Timeout or Error
2026-03-26 22:01,Search,Failed,0.311,Timeout or Error
2026-03-26 22:01,Channel,Failed,0.312,Timeout or Error
2026-03-26 22:01,Comments,OK,0.309,"{""commentCount"":10476158 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 22:01,Playlist,Failed,0.311,Timeout or Error
2026-03-26 23:43,Video,Failed,0.306,Timeout or Error
2026-03-26 23:43,Search,Failed,0.305,Timeout or Error
2026-03-26 23:43,Channel,Failed,0.305,Timeout or Error
2026-03-26 23:43,Comments,OK,0.306,"{""commentCount"":10476225 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 23:43,Playlist,Failed,0.306,Timeout or Error
2026-03-26 23:59,Video,Failed,0.519,Timeout or Error
2026-03-26 23:59,Search,Failed,0.508,Timeout or Error
2026-03-26 23:59,Channel,Failed,0.516,Timeout or Error
2026-03-26 23:59,Comments,OK,0.489,"{""commentCount"":10476313 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 23:59,Playlist,Failed,0.518,Timeout or Error
2026-03-27 01:15,Video,Failed,0.45,Timeout or Error
2026-03-27 01:15,Search,Failed,0.467,Timeout or Error
2026-03-27 01:15,Channel,Failed,0.451,Timeout or Error
2026-03-27 01:15,Comments,OK,0.461,"{""commentCount"":10476313 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-27 01:15,Playlist,Failed,0.458,Timeout or Error
2026-03-27 02:57,Video,Failed,0.305,Timeout or Error
2026-03-27 02:57,Search,Failed,0.306,Timeout or Error
2026-03-27 02:57,Channel,Failed,0.305,Timeout or Error
2026-03-27 02:57,Comments,OK,0.307,"{""commentCount"":10476370 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-27 02:57,Playlist,Failed,0.305,Timeout or Error
2026-03-27 04:07,Video,Failed,0.36,Timeout or Error
2026-03-27 04:07,Search,Failed,0.354,Timeout or Error
2026-03-27 04:07,Channel,Failed,0.352,Timeout or Error
2026-03-27 04:07,Comments,OK,0.36,"{""commentCount"":10476448 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-27 04:07,Playlist,Failed,0.367,Timeout or Error
2026-03-27 05:31,Video,Failed,0.31,Timeout or Error
2026-03-27 05:31,Search,Failed,0.302,Timeout or Error
2026-03-27 05:31,Channel,Failed,0.31,Timeout or Error
2026-03-27 05:31,Comments,OK,0.306,"{""commentCount"":10476496 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-27 05:31,Playlist,Failed,0.31,Timeout or Error
2026-03-27 06:26,Video,Failed,0.507,Timeout or Error
2026-03-27 06:26,Search,Failed,0.508,Timeout or Error
2026-03-27 06:26,Channel,Failed,0.504,Timeout or Error
2026-03-27 06:26,Comments,OK,0.5,"{""commentCount"":10476533 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-27 06:26,Playlist,Failed,0.491,Timeout or Error
2026-03-27 07:23,Video,Failed,0.307,Timeout or Error
2026-03-27 07:23,Search,Failed,0.306,Timeout or Error
2026-03-27 07:23,Channel,Failed,0.309,Timeout or Error
2026-03-27 07:23,Comments,OK,0.307,"{""commentCount"":10476570 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-27 07:23,Playlist,Failed,0.303,Timeout or Error
2026-03-27 08:26,Video,Failed,0.495,Timeout or Error
2026-03-27 08:26,Search,Failed,0.515,Timeout or Error
2026-03-27 08:26,Channel,Failed,0.505,Timeout or Error
2026-03-27 08:26,Comments,OK,0.505,"{""commentCount"":10476598 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-27 08:26,Playlist,Failed,0.505,Timeout or Error
2026-03-27 10:53,Video,Failed,0.36,Timeout or Error
2026-03-27 10:53,Search,Failed,0.36,Timeout or Error
2026-03-27 10:53,Channel,Failed,0.371,Timeout or Error
2026-03-27 10:53,Comments,OK,0.356,"{""commentCount"":10476621 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-27 10:53,Playlist,Failed,0.352,Timeout or Error
2026-03-27 13:30,Video,Failed,0.39,Timeout or Error
2026-03-27 13:30,Search,Failed,0.406,Timeout or Error
2026-03-27 13:30,Channel,Failed,0.407,Timeout or Error
2026-03-27 13:30,Comments,OK,0.391,"{""commentCount"":10476683 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-27 13:30,Playlist,Failed,0.406,Timeout or Error
2026-03-27 15:09,Video,Failed,0.463,Timeout or Error
2026-03-27 15:09,Search,Failed,0.465,Timeout or Error
2026-03-27 15:09,Channel,Failed,0.464,Timeout or Error
2026-03-27 15:09,Comments,OK,0.467,"{""commentCount"":10476583 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-27 15:09,Playlist,Failed,0.467,Timeout or Error
2026-03-27 16:57,Video,Failed,0.437,Timeout or Error
2026-03-27 16:57,Search,Failed,0.448,Timeout or Error
2026-03-27 16:57,Channel,Failed,0.422,Timeout or Error
2026-03-27 16:57,Comments,OK,0.436,"{""commentCount"":10476614 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-27 16:57,Playlist,Failed,0.449,Timeout or Error
2026-03-27 17:54,Video,Failed,0.307,Timeout or Error
2026-03-27 17:54,Search,Failed,0.308,Timeout or Error
2026-03-27 17:54,Channel,Failed,0.307,Timeout or Error
2026-03-27 17:54,Comments,OK,0.307,"{""commentCount"":10476631 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-27 17:54,Playlist,Failed,0.308,Timeout or Error
2026-03-27 18:49,Video,Failed,0.308,Timeout or Error
2026-03-27 18:49,Search,Failed,0.308,Timeout or Error
2026-03-27 18:49,Channel,Failed,0.312,Timeout or Error
2026-03-27 18:49,Comments,OK,0.306,"{""commentCount"":10476659 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-27 18:49,Playlist,Failed,0.308,Timeout or Error
2026-03-27 19:42,Video,Failed,0.363,Timeout or Error
2026-03-27 19:42,Search,Failed,0.368,Timeout or Error
2026-03-27 19:42,Channel,Failed,0.368,Timeout or Error
2026-03-27 19:42,Comments,OK,0.368,"{""commentCount"":10476697 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-27 19:42,Playlist,Failed,0.369,Timeout or Error
2026-03-27 20:37,Video,Failed,0.396,Timeout or Error
2026-03-27 20:37,Search,Failed,0.406,Timeout or Error
2026-03-27 20:37,Channel,Failed,0.388,Timeout or Error
2026-03-27 20:37,Comments,OK,0.404,"{""commentCount"":10476723 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-27 20:37,Playlist,Failed,0.404,Timeout or Error
2026-03-27 21:53,Video,Failed,0.307,Timeout or Error
2026-03-27 21:53,Search,Failed,0.308,Timeout or Error
2026-03-27 21:53,Channel,Failed,0.307,Timeout or Error
2026-03-27 21:53,Comments,OK,0.306,"{""commentCount"":10476723 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-27 21:53,Playlist,Failed,0.307,Timeout or Error
2026-03-27 23:09,Video,Failed,0.496,Timeout or Error
2026-03-27 23:09,Search,Failed,0.531,Timeout or Error
2026-03-27 23:09,Channel,Failed,0.517,Timeout or Error
2026-03-27 23:09,Comments,OK,0.512,"{""commentCount"":10476773 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-27 23:09,Playlist,Failed,0.494,Timeout or Error
2026-03-28 00:47,Video,Failed,0.307,Timeout or Error
2026-03-28 00:47,Search,Failed,0.308,Timeout or Error
2026-03-28 00:47,Channel,Failed,0.308,Timeout or Error
2026-03-28 00:47,Comments,OK,0.308,"{""commentCount"":10476812 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-28 00:47,Playlist,Failed,0.308,Timeout or Error
2026-03-28 01:47,Video,Failed,0.313,Timeout or Error
2026-03-28 01:47,Search,Failed,0.312,Timeout or Error
2026-03-28 01:47,Channel,Failed,0.312,Timeout or Error
