Timestamp,Category,Status,ResponseTime,RawData
2026-04-23 14:25,Video,Failed,1.257,Timeout or Error
2026-04-23 14:25,Search,OK,1.018,"[{""type"":""video"" ""title"":""Xpeng G6: Das erste große Update im Test – Endlich besser?"" ""videoId"":""T7O"
2026-04-23 14:25,Channel,OK,0.379,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-23 14:25,Comments,OK,0.621,"{""commentCount"":10493648 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-04-23 14:25,Playlist,OK,0.362,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-23 16:28,Video,OK,0.439,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-23 16:28,Search,OK,1.142,"[{""type"":""channel"" ""author"":""test"" ""authorId"":""UCZRcA_nO3Kt-SOml2mY8D9g"" ""authorUrl"":""/channel/UCZRc"
2026-04-23 16:28,Channel,OK,0.454,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-23 16:28,Comments,OK,0.827,"{""commentCount"":10493655 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-04-23 16:28,Playlist,OK,0.449,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-23 18:21,Video,Failed,0.523,Timeout or Error
2026-04-23 18:21,Search,OK,0.392,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-23 18:21,Channel,Failed,0.417,Timeout or Error
2026-04-23 18:21,Comments,OK,0.378,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-23 18:21,Playlist,OK,0.382,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-23 20:03,Video,Failed,0.472,Timeout or Error
2026-04-23 20:03,Search,OK,1.008,"[{""type"":""video"" ""title"":""The Chemical Brothers - The Test (Official Music Video)"" ""videoId"":""yhS9Ln"
2026-04-23 20:03,Channel,OK,0.322,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-23 20:03,Comments,OK,0.328,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-23 20:03,Playlist,OK,0.324,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-23 22:14,Video,Failed,1.251,Timeout or Error
2026-04-23 22:14,Search,OK,1.194,"[{""type"":""video"" ""title"":""The Chemical Brothers - The Test (Official Music Video)"" ""videoId"":""yhS9Ln"
2026-04-23 22:14,Channel,Failed,1.254,Timeout or Error
2026-04-23 22:14,Comments,OK,0.39,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-23 22:14,Playlist,Failed,0.442,Timeout or Error
2026-04-24 00:47,Video,Failed,0.523,Timeout or Error
2026-04-24 00:47,Search,OK,0.372,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 00:47,Channel,OK,0.36,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 00:47,Comments,OK,0.679,"{""commentCount"":10494070 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-04-24 00:47,Playlist,Failed,1.258,Timeout or Error
2026-04-24 02:14,Video,OK,0.696,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 02:14,Search,OK,0.313,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 02:14,Channel,Failed,0.363,Timeout or Error
2026-04-24 02:14,Comments,Failed,1.228,Timeout or Error
2026-04-24 02:14,Playlist,OK,0.325,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 04:00,Video,OK,0.732,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 04:00,Search,OK,0.402,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 04:00,Channel,Failed,1.293,Timeout or Error
2026-04-24 04:00,Comments,OK,0.401,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 04:00,Playlist,Failed,1.095,Timeout or Error
2026-04-24 05:45,Video,OK,0.673,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 05:45,Search,OK,1.14,"[{""type"":""channel"" ""author"":""test"" ""authorId"":""UCZRcA_nO3Kt-SOml2mY8D9g"" ""authorUrl"":""/channel/UCZRc"
2026-04-24 05:45,Channel,OK,0.524,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 05:45,Comments,OK,0.853,"{""commentCount"":10494774 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-04-24 05:45,Playlist,OK,0.523,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 06:40,Video,Failed,0.459,Timeout or Error
2026-04-24 06:40,Search,OK,0.32,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 06:40,Channel,Failed,0.355,Timeout or Error
2026-04-24 06:40,Comments,OK,0.616,"{""commentCount"":10494879 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-04-24 06:40,Playlist,OK,0.329,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 07:38,Video,Failed,0.577,Timeout or Error
2026-04-24 07:38,Search,OK,1.1,"[{""type"":""video"" ""title"":""The Chemical Brothers - The Test (Official Music Video)"" ""videoId"":""yhS9Ln"
2026-04-24 07:38,Channel,Failed,0.485,Timeout or Error
2026-04-24 07:38,Comments,OK,0.428,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 07:38,Playlist,Failed,0.49,Timeout or Error
2026-04-24 08:39,Video,Failed,0.771,Timeout or Error
2026-04-24 08:39,Search,OK,0.42,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 08:39,Channel,Failed,0.474,Timeout or Error
2026-04-24 08:39,Comments,OK,0.855,"{""commentCount"":10495165 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-04-24 08:39,Playlist,OK,0.437,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 11:06,Video,OK,0.508,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 11:06,Search,OK,0.328,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 11:06,Channel,Failed,1.234,Timeout or Error
2026-04-24 11:06,Comments,OK,0.708,"{""commentCount"":10495535 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-04-24 11:06,Playlist,OK,0.323,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 14:29,Video,OK,0.643,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 14:29,Search,OK,0.501,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 14:29,Channel,Failed,0.571,Timeout or Error
2026-04-24 14:29,Comments,Failed,1.344,Timeout or Error
2026-04-24 14:29,Playlist,OK,0.511,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 16:53,Video,OK,1.025,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 16:53,Search,OK,0.937,"[{""type"":""video"" ""title"":""Saros ist der beste Shooter des Jahres! | Test/Review"" ""videoId"":""byinWhSB"
2026-04-24 16:53,Channel,OK,0.439,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 16:53,Comments,OK,0.455,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 16:53,Playlist,Failed,0.47,Timeout or Error
2026-04-24 18:26,Video,OK,0.582,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 18:26,Search,OK,1.012,"[{""type"":""video"" ""title"":""Saros ist der beste Shooter des Jahres! | Test/Review"" ""videoId"":""byinWhSB"
2026-04-24 18:26,Channel,OK,0.324,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 18:26,Comments,OK,0.338,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 18:26,Playlist,Failed,0.373,Timeout or Error
2026-04-24 20:02,Video,OK,0.318,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 20:02,Search,OK,0.321,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 20:02,Channel,OK,0.323,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 20:02,Comments,OK,0.63,"{""commentCount"":10496990 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-04-24 20:02,Playlist,Failed,0.368,Timeout or Error
2026-04-24 22:10,Video,OK,0.496,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 22:10,Search,OK,0.506,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-24 22:10,Channel,Failed,1.354,Timeout or Error
2026-04-24 22:10,Comments,OK,0.866,"{""commentCount"":10497400 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-04-24 22:10,Playlist,OK,0.494,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-25 00:03,Video,OK,0.462,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-25 00:03,Search,OK,1.092,"[{""type"":""video"" ""title"":""Personality TEST 👆"" ""videoId"":""HrjscnBVDV0"" ""author"":""Moore Wellness"" ""aut"
2026-04-25 00:03,Channel,Failed,0.68,Timeout or Error
2026-04-25 00:03,Comments,OK,0.438,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-25 00:03,Playlist,Failed,0.507,Timeout or Error
2026-04-25 01:49,Video,Failed,1.362,Timeout or Error
2026-04-25 01:49,Search,OK,1.276,"[{""type"":""video"" ""title"":""Saros ist der beste Shooter des Jahres! | Test/Review"" ""videoId"":""byinWhSB"
2026-04-25 01:49,Channel,OK,0.531,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-25 01:49,Comments,OK,0.532,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-25 01:49,Playlist,Failed,1.38,Timeout or Error
2026-04-25 02:45,Video,OK,0.416,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-25 02:45,Search,OK,0.389,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-25 02:45,Channel,OK,0.4,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-25 02:45,Comments,OK,1.119,"{""commentCount"":10498059 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-04-25 02:45,Playlist,OK,0.396,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-25 03:41,Video,Failed,1.254,Timeout or Error
2026-04-25 03:41,Search,OK,0.384,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-25 03:41,Channel,OK,0.38,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-25 03:41,Comments,OK,0.697,"{""commentCount"":10498165 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-04-25 03:41,Playlist,OK,0.361,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
2026-04-25 04:47,Video,Failed,0.586,Timeout or Error
2026-04-25 04:47,Search,OK,0.384,"<!doctype html><meta charset=utf-8><meta content=""width=device-width initial-scale=1.0"" name=viewpor"
