Timestamp,Category,Status,ResponseTime,RawData
2026-03-26 05:19,Video,Error(500),0.635,Invalid Status
2026-03-26 05:19,Search,OK,0.959,"[{""type"":""video"" ""title"":""Butter Test 2026: These 7 Brands Fail Miserably in the Laboratory! 🧪"" ""vid"
2026-03-26 05:19,Channel,Error(404),0.38,Invalid Status
2026-03-26 05:19,Comments,OK,0.59,"{""commentCount"":10476021 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 05:19,Playlist,Error(404),0.462,Invalid Status
2026-03-26 05:25,Video,Error(500),0.813,Invalid Status
2026-03-26 05:25,Search,Failed,1.26,"HTTPSConnectionPool(host='iv.melmac.space', port=4"
2026-03-26 05:25,Channel,Error(404),0.438,Invalid Status
2026-03-26 05:25,Comments,OK,0.634,"{""commentCount"":10476025 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 05:25,Playlist,Error(404),0.461,Invalid Status
2026-03-26 06:08,Video,Error(500),0.764,Invalid Status
2026-03-26 06:08,Search,OK,0.943,"[{""type"":""video"" ""title"":""Butter Test 2026: These 7 Brands Fail Miserably in the Laboratory! 🧪"" ""vid"
2026-03-26 06:08,Channel,Error(404),0.453,Invalid Status
2026-03-26 06:08,Comments,OK,0.757,"{""commentCount"":10476020 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 06:08,Playlist,Error(404),0.457,Invalid Status
2026-03-26 16:01,Video,Failed,0.526,Timeout or Error
2026-03-26 16:01,Search,OK,1.12,"[{""type"":""video"" ""title"":""Butter Test 2026: These 7 Brands Fail Miserably in the Laboratory! 🧪"" ""vid"
2026-03-26 16:01,Channel,Failed,0.597,Timeout or Error
2026-03-26 16:01,Comments,OK,0.802,"{""commentCount"":10476036 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 16:01,Playlist,Failed,0.799,Timeout or Error
2026-03-26 17:26,Video,Failed,0.333,Timeout or Error
2026-03-26 17:26,Search,OK,1.031,"[{""type"":""video"" ""title"":""Hedge trimmer torture: Dead after 22 hours 😱 (Test hedge trimmers Stiftung"
2026-03-26 17:26,Channel,Failed,0.405,Timeout or Error
2026-03-26 17:26,Comments,OK,0.836,"{""commentCount"":10476093 ""videoId"":""jNQXAC9IVRw"" ""comments"":[{""authorId"":""UCC5NfQ6Mf0dq_eEwv4P_hWA"" "
2026-03-26 17:26,Playlist,Failed,0.547,Timeout or Error
2026-03-26 17:47,Video,Failed,0.472,Timeout or Error
2026-03-26 17:47,Search,OK,1.072,"[{""type"":""video"" ""title"":""Hedge trimmer torture: Dead after 22 hours 😱 (Test hedge trimmers Stiftung"
2026-03-26 17:47,Channel,Failed,0.552,Timeout or Error
2026-03-26 17:47,Comments,Failed,1.326,Timeout or Error
2026-03-26 17:47,Playlist,Failed,0.537,Timeout or Error
